x,y,objectid_1,objectid,id,name,telephone,address,address2,city,state,zip,zipp4,county,fips,directions,emergtitle,emergtel,emergext,contdate,conthow,geodate,geohow,hsipthemes,naicscode,naicsdescr,geolinkid,st_vendor,st_version,geoprec,phoneloc,qc_qa,ucaoa_id,longitude,latitude
-83.2180062,34.1283572,11,4011,11514097,REDDY MEDICAL GROUP - DANIELSVILLE,706-795-2211,280 GENERAL DANIELS AVENUE, ,DANIELSVILLE,GA,30633, ,MADISON,13195,"LOCATED ON THE EAST SIDE OF US-29, APPROX .1MI SOUTH OF GA 98.", , , ,2009-02-20T00:00:00.000Z,PHONE,2009-02-20T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",22760761,NAVTEQ,2008Q1,ONENTITY,NO,TGS, ,-83.21800620712014,34.128357271072105
-77.1830878,38.8902605,12,4012,10844594,FALLS CHURCH URGENT CARE,703-538-1505,920-B WEST BROAD STREET, ,FALLS CHURCH,VA,22046,3137,FALLS CHURCH CITY,51610,LOC ON THE NE SIDE OF W BROAD ST .1 MI SE OF N WEST ST., , , ,2009-02-06T00:00:00.000Z,PHONE,2009-02-06T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",18452441,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,-77.1830878831986,38.89026047054517
-75.615411,35.9393612,13,4013,11527223,OUTER BANKS URGENT CARE,252-261-8040,4923 SOUTH CROATAN HIGHWAY, ,NAGS HEAD,NC,27959,9709,DARE,37055,LOCATED ON THE EAST SIDE OF S CROATAN HWY APPROX. 0.10 MILE NORTH OF E MALL DR, , , ,2009-04-14T00:00:00.000Z,PHONE,2009-04-14T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",128095157,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,-75.61541097583518,35.9393611633879
-81.3225919,29.8080963,14,4014,11241421,TOWNSEND CLINIC,904-461-1901,4475 UNITED STATES HIGHWAY 1, ,SAINT AUGUSTINE,FL,32086, ,ST JOHNS,12109,ON THE SW SIDE OF US-1 BETWEEN SOUTHWOOD LAKE DR AND BELLA TERRA DR, , , ,2009-02-03T00:00:00.000Z,PHONE,2009-02-04T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",42737156,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,-81.32259185582882,29.80809638224315
-79.1166156,37.4681139,15,4015,11521794,AMELON IMMEDIATE CARE,434-929-1095,200 AMELON SQUARE, ,MADISON HEIGHTS,VA,24572,5981,AMHERST,51009,LOCATED ON THE NORTHEAST CORNER OF AMHERST HWY AND AMELON SQ, , , ,2009-03-30T00:00:00.000Z,PHONE,2009-03-30T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",123408417,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,-79.11661558643948,37.46811385407199
-77.2313179,38.8649766,16,4016,11241568,FAIRFAX CONVENIENT CARE,703-849-0900,8301 ARLINGTON BOULEVARD,SUITE 100,FAIRFAX,VA,22031,2902,FAIRFAX,51059,ON THE EAST SIDE OF WILLIAMS DR BETWEEN WILLOW OAKS CORPORATE DR AND ARLINGTON BLVD, , , ,2009-02-06T00:00:00.000Z,PHONE,2009-02-06T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",18356918,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,-77.23131785723268,38.8649766274703
-74.6377729,40.3228922,17,4017,10193980,PRINCETON PRIMARY AND URGENT CARE CENTER LIMITED LIABILITY COMPANY,609-919-0009,707 ALEXANDER ROAD,SUITE 201,PRINCETON,NJ,08540,6331,MERCER,34021,LOCATED ON THE NORTHEAST SIDE OF ALEXANDER ROAD .1 MILES NORTHWEST OF THE INTERSECTION OF ROSZEL ROAD AND ALEXANDER ROAD., , , ,2009-01-26T00:00:00.000Z,PHONE,2009-02-02T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",743356444,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_2609,-74.63777294606393,40.32289217753288
-82.6155319,39.0509212,18,4018,10422029,HOLZER CLINIC - JACKSON,740-395-8805,280 PATTONSVILLE ROAD, ,JACKSON,OH,45640,9452,JACKSON,39079,S SIDE OF E BROADWAY ST ABOUT .1 MI W OF KESSINGER SCHOOL RD., , , ,2009-01-29T00:00:00.000Z,PHONE,2009-01-29T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",115978325,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_2969,-82.61553193774807,39.050921270301274
-75.6044642,39.2998057,19,4019,10993674,SMYRNA MEDICAL AID UNIT,302-659-4545,100 SOUTH MAIN STREET, ,SMYRNA,DE,19977,1477,KENT,10001,LOC ON THE E CORNER OF S MAIN ST AND E SOUTH ST., , , ,2009-01-26T00:00:00.000Z,PHONE,2009-01-26T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",90767684,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,-75.60446421025443,39.29980579210451
-86.6410982,36.0765014,20,4020,10425865,TENNESSEE URGENT CARE ASSOCIATES - ANTIOCH FACILITY,615-399-6898,2553 MURFREESBORO PIKE, ,NASHVILLE,TN,37217,3547,DAVIDSON,47037,LOCATED AT THE SOUTH CORNER OF DOVER GLEN DRIVE AND MURFREESBORO PIKE., , , ,2008-02-06T00:00:00.000Z,PHONE,2008-02-06T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",31401939,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, ,-86.6410981860318,36.07650150444175
-75.8266253,40.1556907,21,4021,10194150,SAINT JOSEPH HEALTH NETWORK URGENT AND DIAGNOSTIC CARE,610-913-1234,45 SOUTH PINE STREET, ,ELVERSON,PA,19520,9720,CHESTER,42029,"LOC ON THE EAST SIDE OF S PINE ST, APPR .1 MILES SOUTH OF E MAIN ST.", , , ,2009-01-30T00:00:00.000Z,PHONE,2009-01-30T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",32777586,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3196,-75.82662538015649,40.15569081088313
-83.6940191,32.5468937,22,4022,11513823,EMERGENCY CARE AT LAKE JOY,478-987-0323,1118 STATE HIGHWAY 96, ,KATHLEEN,GA,31047, ,HOUSTON,13153,"LOCATED ON THE SOUTHEAST SIDE OF GA-96, APRROX .3MI SOUTHWEST OF LAKE JOY ROAD.", , , ,2009-02-19T00:00:00.000Z,PHONE,2009-02-19T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",133504601,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,-83.69401918273843,32.546893808903064
-80.6205818,28.0848918,23,4023,10421601,MELBOURNE MEDICAL CENTER,321-728-0000,15 EAST HIBISCUS BOULEVARD, ,MELBOURNE,FL,32901,3101,BREVARD,12009,LOCATED ON THE S SIDE OF E HIBISCUS BLVD .07 MILES E OF BABCOCK ST S., , , ,2008-01-23T00:00:00.000Z,PHONE,2008-01-23T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",36457725,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,UC_1218,-80.6205818157975,28.084891752653164
-80.4036911,27.6607287,24,4024,10842334,INDIAN RIVER WALK IN CLINIC,772-778-1400,1880 37TH STREET, ,VERO BEACH,FL,32960,6591,INDIAN RIVER,12061,LOC ON THE NORTHEAST CORNER OF US-1 AND 37TH STREET., , , ,2008-12-24T00:00:00.000Z,PHONE,2008-12-24T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",106066547,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,-80.40369101842509,27.66072872734975
-80.4756258,35.6728382,25,4025,10421917,PROMED MINOR EMERGENCY CENTER,704-216-2504,628 WEST INNES STREET, ,SALISBURY,NC,28144,4143,ROWAN,37159,LOC AT THE SOUTHEAST CORNER OF NORTH CRAIGE STREET AND WEST INNES STREET., , , ,2009-01-13T00:00:00.000Z,PHONE,2009-01-13T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",102409617,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_2450,-80.47562568537643,35.67283809979938
-79.0085074,34.6357198,26,4026,10421908,NEXTCARE URGENT CARE - LUMBERTON,910-738-7241,2601 NORTH ELM STREET,PROFESSIONAL PLAZA SUITE A,LUMBERTON,NC,28358, ,ROBESON,37155,LOC AT THE NORTHWEST CORNER OF WEST 26TH STREET AND NORTH ELM STREET., , , ,2009-01-13T00:00:00.000Z,PHONE,2009-01-13T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",125341179,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_2403,-79.00850747533906,34.63571973817625
-80.3867275,36.0432452,27,4027,10425860,CLEMMONS URGENT AND PRIMARY CARE,336-712-8225,2245 LEWISVILLE CLEMMONS ROAD,SUITE C,CLEMMONS,NC,27012,7461,FORSYTH,37067,ON THE EAST SIDE OF LEWISVILLE CLEMMONS ROAD BETWEEN SOUTH PEACE HAVEN ROAD AND SEDALIA DRIVE, , , ,2008-02-06T00:00:00.000Z,PHONE,2008-02-06T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",17067099,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, ,-80.38672755543166,36.043245130059574
-76.7987944,34.7360697,28,4028,10425857,BEACHCARE URGENT MEDICAL CARE,252-808-3696,5059 STATE HIGHWAY 70 WEST, ,MOREHEAD CITY,NC,28557, ,CARTERET,37031,ON THE SOUTH SIDE OF US-70 .12 MILES EAST OF JONES ROAD, , , ,2008-02-06T00:00:00.000Z,PHONE,2008-02-06T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",704996903,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, ,-76.79879438615131,34.73606972713708
-72.6497038,40.931643,29,4029,10425872,ISLAND URGENT MEDICAL CARE,631-727-8032,1228 EAST MAIN STREET, ,RIVERHEAD,NY,11901,2675,SUFFOLK,36103,LOCATED ON THE W SIDE OF E MAIN ST AND SUNRISE AVE T-INTERSECTION., , , ,2008-02-06T00:00:00.000Z,PHONE,2008-02-06T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",127783052,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, ,-72.64970386264247,40.93164298363769
-82.1062509,33.5079068,30,4030,10421613,UNIVERSITY HOSPITAL MEDICAL CENTER - COLUMBIA COUNTY,706-868-3220,4106 COLUMBIA ROAD,SUITE 103,AUGUSTA,GA,30907,1482,COLUMBIA,13073,LOCATED AT THE SW CORNER OF COLUMBIA ROAD AND FLOWING WELLS ROAD., , , ,2008-01-23T00:00:00.000Z,PHONE,2008-01-23T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",114482634,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,UC_1295,-82.10625085339353,33.507906836432255
-82.045855,39.0386832,31,4031,10194110,HOLZER CLINIC - MEIGS-POMEROY,740-992-0060,88 EAST MEMORIAL DRIVE, ,POMEROY,OH,45769,9569,MEIGS,39105,LOCATED ON THE SOUTH SIDE OF THE NORTHERN MOST E MEMORIAL DR APPROX .1 MILE WEST OF MULBERRY AVE, , , ,2009-01-30T00:00:00.000Z,PHONE,2009-01-30T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",115971883,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3054,-82.04585505036965,39.03868318887896
-77.6031248,38.8034237,32,4032,10425817,ADVANCED URGENT CARE PRIVATE CORPORATION,571-261-4165,7200 HERITAGE VILLAGE PLAZA,SUITE 101,GAINESVILLE,VA,20155,3070,PRINCE WILLIAM,51153,LOC ON THE SW SIDE OF HERITAGE VILLAGE PLZ APPROX 0.11MILES SW OF THE EASTERNMOST INTERSECTION OF HEALTHCOTE BLVD AND HERITAGE VILLAGE PLZ, , , ,2008-02-06T00:00:00.000Z,PHONE,2008-02-05T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",128073542,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, ,-77.60312483334371,38.80342378548022
-82.3311877,27.8574105,33,4033,10425858,BOYETTE WALK-IN CLINIC,813-741-2100,10508 GIBSONTON DRIVE, ,RIVERVIEW,FL,33569,5434,HILLSBOROUGH,12057,"LOCATED ON THE NORTH SIDE OF GIBSONTON DRIVE, BETWEEN OAK RIDGE AVENUE AND MATHOG ROAD.", , , ,2008-02-06T00:00:00.000Z,PHONE,2008-02-06T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",23166817,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, ,-82.33118777449556,27.857410420155645
-78.9329181,35.038292,34,4034,10844654,MED ONE CARE,910-401-5688,413 OWEN DRIVE,SUITE 202,FAYETTEVILLE,NC,28304,3411,CUMBERLAND,37051,"LOC ON THE EAST SIDE OF OWEN DR, LESS THAN .1 MILES SOUTH OF PLAYER AVE.", , , ,2009-01-14T00:00:00.000Z,PHONE,2009-01-14T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",102701286,NAVTEQ,2008Q1,ONENTITY,YES,TGS, ,-78.93291813176569,35.03829198638698
